【xkcoding】2018-11-06 09:39:26.688 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/account/updatePwd],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.winterchen.controller.AccountController.updatePwd(java.lang.String,java.lang.String,java.lang.String)
【xkcoding】2018-11-06 09:39:26.689 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/getList],methods=[GET]}" onto public java.util.List<com.winterchen.model.ArticleTypeDomain> com.winterchen.controller.ArticleTypeController.getList(java.lang.String)
【xkcoding】2018-11-06 09:39:26.691 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/bulletin/saveBulletin],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.winterchen.controller.BulletinController.WithdrawInfo(com.winterchen.model.Bulletin) throws java.lang.Exception
【xkcoding】2018-11-06 09:39:26.692 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/bulletin/listBulletin],methods=[POST]}" onto public java.lang.Object com.winterchen.controller.BulletinController.selectWithdraws(java.util.Map<java.lang.String, java.lang.Object>) throws java.lang.Exception
【xkcoding】2018-11-06 09:39:26.693 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/bulletin/updateBulletin],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.winterchen.controller.BulletinController.updateBulletinInfo(com.winterchen.model.Bulletin) throws java.lang.Exception
【xkcoding】2018-11-06 09:39:26.694 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/capitalDetail/saveCapitalDetail],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.winterchen.controller.CapitalDetailController.CapitalDetailInfo(com.winterchen.model.CapitalDetail) throws java.lang.Exception
【xkcoding】2018-11-06 09:39:26.694 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/capitalDetail/listCapitalDetail.do],methods=[POST]}" onto public java.lang.Object com.winterchen.controller.CapitalDetailController.selectCapitalDetails(java.util.Map<java.lang.String, java.lang.Object>) throws java.lang.Exception
【xkcoding】2018-11-06 09:39:26.695 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/email/htmlEmail]}" onto public com.winterchen.util.email.result.ServerResponse com.winterchen.controller.EmailController.htmlEmail(java.lang.String,java.lang.String,java.lang.String,java.lang.String)
【xkcoding】2018-11-06 09:39:26.697 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/yf1],methods=[GET]}" onto public int com.winterchen.controller.ExceptionController.yf1(int)
【xkcoding】2018-11-06 09:39:26.698 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/yf0],methods=[GET]}" onto public int com.winterchen.controller.ExceptionController.yf0(int)
